state,blood_a,blood_b,blood_ab,blood_o,cluster
Johor,14.616961012995668,16.49516827724092,3.1794401866044653,25.582972342552484,2
Kedah,18.40186567164179,20.661753731343282,4.7833955223880595,29.016044776119404,2
Kelantan,7.782901331805814,8.053415437491049,1.905341543749105,11.812687956465702,0
Melaka,15.001877053026748,15.757078054121695,3.6608790865008602,24.408728296574377,2
Negeri Sembilan,9.712459156130132,10.637874698110528,2.3332859781218924,16.465975280579627,0
Pahang,7.966077537058153,8.790193842645381,1.9985746864310148,12.6153078677309,0
Perak,16.428011586300904,18.29255409780201,4.013801329016868,27.092349633668427,2
Pulau Pinang,10.435102301790282,11.218190537084398,2.515505115089514,17.14977621483376,0
Sabah,12.683761984477249,13.754070917668544,2.770658956018871,28.373002587125246,2
Sarawak,11.89372681825512,14.581841638445413,3.256732785034672,20.532978551846476,2
Selangor,13.329443855129565,15.15426579784816,3.3618730110622823,22.46294893165631,2
Terengganu,9.918461760878994,11.376319213531877,2.76319213531878,15.87971664016192,0
W.P. Kuala Lumpur,26.54920634920635,28.57777777777778,6.004761904761905,44.25238095238095,1
